,0,1,2,3,4,5,6,7,code
dido_ii_marlowe.txt,0.36000752449,0.216776251793,0.217291295528,0.513078808784,-0.296209663153,0.390486985445,0.436924427748,-0.286031514406,2.0
alchemist_jonson.txt,0.155210584402,0.264379560947,-0.655666828156,-0.457920372486,0.173283413053,0.199775069952,0.442575782537,0.0247498434037,3.0
faustus_marlowe.txt,0.108281068504,-0.69339621067,0.47303250432,-0.244393289089,-0.218687295914,0.164404124022,0.0419985242188,-0.383891105652,2.0
coriolanus_shakespeare.txt,-0.539926409721,-0.0579393357038,-0.15200792253,-0.0247227232903,0.763981223106,0.243799313903,-0.176716342568,0.0840876400471,1.0
pericles_i.txt,-0.140880689025,-0.692591011524,0.456199795008,0.14136993885,0.240850359201,0.0162380430847,0.411390244961,0.211783304811,0.0
spanish_dekker.txt,-0.104205787182,-0.367922842503,0.00611435528845,0.240621760488,-0.0126398000866,0.137317761779,0.206875324249,-0.856752216816,4.0
pericles_ii.txt,0.212526068091,-0.274028599262,-0.0755744129419,-0.73944991827,-0.0766531154513,0.206694111228,-0.185758724809,0.494104027748,0.0
fivegallants_middleton.txt,0.0700263231993,0.417789191008,-0.0502372831106,0.176225721836,-0.175586104393,-0.727376043797,0.103098884225,-0.465224206448,5.0
jewofmalta_iii_marlowe.txt,0.621451079845,0.460600584745,0.258347183466,-0.0539203993976,0.335162937641,0.225316151977,0.241118773818,0.33279889822,2.0
comedyoferrors_shakespeare.txt,0.607924997807,0.033348608762,0.378615379333,-0.411501824856,0.138384729624,-0.122955188155,-0.387356877327,0.363755553961,1.0
antony_shakespeare.txt,-0.125979021192,-0.428067564964,-0.243390634656,0.0901728868484,0.803066313267,0.273159682751,-0.107560306787,-0.0491550900042,1.0
hen_iv_i_shakespeare.txt,-0.519990205765,-0.337457925081,-0.140523612499,-0.278481692076,-0.392022579908,0.230633467436,-0.468082010746,0.304070800543,1.0
cymbeline_shakespeare.txt,-0.384293675423,-0.395108819008,-0.452825754881,-0.0760229974985,0.60319006443,0.244458496571,-0.237487629056,0.073335647583,1.0
likeit_shakespeare.txt,-0.518712580204,0.34977543354,0.0607295967638,-0.503842175007,-0.059716552496,0.27059713006,-0.517186939716,0.0823291540146,1.0
hen_iv_ii_shakespeare.txt,-0.602634906769,-0.140967786312,-0.0217626355588,-0.259255170822,-0.24547341466,-0.0179912522435,-0.535815119743,0.448991835117,1.0
pericles_iii.txt,0.349211901426,-0.599259912968,-0.484374403954,-0.115343287587,0.237618461251,0.0420768968761,-0.459273695946,0.0430185087025,0.0
dido_iv_marlowe.txt,0.291758149862,0.34126240015,0.474288761616,0.36448854208,-0.161232292652,0.197615534067,0.44167393446,-0.424843221903,2.0
pericles_v.txt,0.42153185606,-0.426899790764,-0.218405202031,0.0276972707361,0.378026515245,-0.149284601212,0.0773705393076,0.648400604725,0.0
jewofmalta_i_marlowe.txt,0.429679661989,-0.503977835178,0.179629027843,-0.346672534943,0.348035782576,0.279220014811,0.217736646533,0.403027713299,2.0
puritan.txt,-0.0665643140674,0.5360044837,0.214983850718,-0.0539729036391,-0.427697986364,-0.57655185461,0.123310826719,-0.358600258827,0.0
dido_i_marlowe.txt,0.571851193905,-0.167235538363,0.252871632576,0.185530096292,0.0994014069438,0.659088492393,-0.00990318413824,-0.319807291031,2.0
fortunatus_dekker.txt,-0.17868436873,-0.553031146526,0.0221393126994,0.621676445007,-0.459094434977,-0.0294103957713,-0.188262701035,-0.16787289083,4.0
cromwell.txt,0.191607534885,-0.111436747015,0.287909060717,-0.237392663956,0.35705947876,-0.297057509422,-0.0199694875628,0.771678745747,0.0
hengist_middleton.txt,0.0626571848989,0.0353409461677,-0.120384782553,-0.125768378377,-0.126351058483,-0.780010640621,0.583041191101,0.0140255885199,5.0
dido_iii_marlowe.txt,0.259906888008,0.187552168965,0.490420043468,0.334841400385,-0.343105494976,0.237232595682,0.309908747673,-0.524020850658,2.0
hamlet_shakespeare.txt,-0.437620460987,-0.0518044866621,0.0139457061887,-0.0737536549568,0.518788337708,0.168191373348,-0.101339004934,0.701762855053,1.0
merlin.txt,0.245405346155,-0.162924453616,-0.392943829298,0.728939712048,-0.355159431696,-0.305720537901,0.0841868594289,-0.0279843844473,0.0
dido_v_marlowe.txt,0.364204972982,0.407308131456,0.409540355206,0.343327432871,-0.196803957224,0.254513204098,0.309083968401,-0.465635180473,2.0
chastemaid_middleton.txt,0.253022015095,0.137629300356,-0.528261780739,-0.258623719215,-0.114053227007,-0.600069224834,0.371132194996,-0.245481342077,5.0
jewofmalta_ii_marlowe.txt,0.472341746092,0.121268332005,0.353240549564,-0.122057572007,0.290135920048,0.421161323786,0.0652412995696,0.597242116928,2.0
vortigern.txt,0.3162740767,-0.206891193986,0.182953372598,0.815059125423,-0.0776572301984,-0.104870013893,0.0310735590756,0.376004517078,0.0
pericles_iv.txt,-0.560970723629,-0.309767395258,-0.0816341787577,-0.355519026518,-0.414380818605,0.0780460983515,-0.498966157436,0.171837940812,0.0
endswell_shakespeare.txt,-0.470677524805,0.0853859856725,-0.348705679178,-0.164215683937,0.409346342087,-0.000972697045654,-0.666181921959,-0.106045477092,1.0
*,0.261388659477,-0.341634631157,-0.219372674823,-0.521134197712,-0.472697794437,-0.0263442862779,0.495858848095,0.15888106823,0.0
