author,dorian-nakamoto,gavin-andresen,craig-steven-wright,nick-szabo,hal-finney,satoshi-nakamoto,david-mazieres,micheal-clear,wei-dai,roger-ver,jed-mccaleb
dorian-nakamoto,0.0,15.1766335164,21.7089427446,24.6653419159,20.2306688936,14.8199944487,16.4442856809,17.4636837612,21.9511488832,5.70337618698,8.14855163936
gavin-andresen,15.1766335164,0.0,18.6315750767,33.9049497304,20.4235143894,3.38008090859,15.8390848999,20.7133555029,22.2161007404,11.4413640129,6.28778019698
craig-steven-wright,21.7089427446,18.6315750767,0.0,29.3851190377,16.4534005474,18.4057337444,19.527889777,4.81742210995,11.4494984405,14.4792072265,13.8188288305
nick-szabo,24.6653419159,33.9049497304,29.3851190377,0.0,25.6485747371,34.5603069128,28.5480364318,29.5008965976,26.9078367123,30.9582240209,34.3285230383
hal-finney,20.2306688936,20.4235143894,16.4534005474,25.6485747371,0.0,11.4122990766,2.17807968302,18.064777841,27.7510791208,18.7114365619,14.3267213994
satoshi-nakamoto,14.8199944487,3.38008090859,18.4057337444,34.5603069128,11.4122990766,0.0,7.25963293238,19.8159157038,25.1238995785,13.1910942174,6.56559768418
david-mazieres,16.4442856809,15.8390848999,19.527889777,28.5480364318,2.17807968302,7.25963293238,0.0,19.1139754921,27.0450094039,16.4690061459,11.571672027
micheal-clear,17.4636837612,20.7133555029,4.81742210995,29.5008965976,18.064777841,19.8159157038,19.1139754921,0.0,7.84491880619,11.4953308575,13.197479084
wei-dai,21.9511488832,22.2161007404,11.4494984405,26.9078367123,27.7510791208,25.1238995785,27.0450094039,7.84491880619,0.0,18.7384720179,22.5644922383
roger-ver,5.70337618698,11.4413640129,14.4792072265,30.9582240209,18.7114365619,13.1910942174,16.4690061459,11.4953308575,18.7384720179,0.0,2.48467467766
jed-mccaleb,8.14855163936,6.28778019698,13.8188288305,34.3285230383,14.3267213994,6.56559768418,11.571672027,13.197479084,22.5644922383,2.48467467766,0.0
