author,dorian-nakamoto,gavin-andresen,craig-steven-wright
dorian-nakamoto,0,3.895719897,4.659285647
gavin-andresen,3.895719897,0,4.316430826
craig-steven-wright,4.659285647,4.316430826,0
nick-szabo,4.96642144,5.822795697,5.42080428
hal-finney,4.497851586,4.519238253,4.056279151
satoshi-nakamoto,3.84967459,1.838499635,4.290190409
david-mazieres,4.055155445,3.979834783,4.4190372
micheal-clear,4.178957258,4.551192756,2.194862663
wei-dai,4.685205319,4.713395882,3.38371075
roger-ver,2.388174237,3.382508538,3.805155349
jed-mccaleb,2.854566804,2.507544655,3.717368536
,nick-szabo,hal-finney,satoshi-nakamoto
dorian-nakamoto,4.96642144,4.497851586,3.84967459
gavin-andresen,5.822795697,4.519238253,1.838499635
craig-steven-wright,5.42080428,4.056279151,4.290190409
nick-szabo,0,5.064442194,5.878801486
hal-finney,5.064442194,0,3.378209448
satoshi-nakamoto,5.878801486,3.378209448,0
david-mazieres,5.343036256,1.475831861,2.6943706
micheal-clear,5.431472783,4.250267973,4.451507127
wei-dai,5.187276425,5.267929301,5.012374645
roger-ver,5.564011504,4.325671805,3.6319546
jed-mccaleb,5.859054791,3.785065574,2.562342226
,david-mazieres,micheal-clear,wei-dai
dorian-nakamoto,4.055155445,4.178957258,4.685205319
gavin-andresen,3.979834783,4.551192756,4.713395882
craig-steven-wright,4.4190372,2.194862663,3.38371075
nick-szabo,5.343036256,5.431472783,5.187276425
hal-finney,1.475831861,4.250267973,5.267929301
satoshi-nakamoto,2.6943706,4.451507127,5.012374645
david-mazieres,0,4.371953281,5.200481651
micheal-clear,4.371953281,0,2.800878221
wei-dai,5.200481651,2.800878221,0
roger-ver,4.058202329,3.390476494,4.328795678
jed-mccaleb,3.401716042,3.632833479,4.750209705
,roger-ver,jed-mccaleb,
dorian-nakamoto,2.388174237,2.854566804,
gavin-andresen,3.382508538,2.507544655,
craig-steven-wright,3.805155349,3.717368536,
nick-szabo,5.564011504,5.859054791,
hal-finney,4.325671805,3.785065574,
satoshi-nakamoto,3.6319546,2.562342226,
david-mazieres,4.058202329,3.401716042,
micheal-clear,3.390476494,3.632833479,
wei-dai,4.328795678,4.750209705,
roger-ver,0,1.576285088,
jed-mccaleb,1.576285088,0,
